concept,condition,avg_topical_score,std_topical_score,ci_lower,ci_upper,num_topical,tpr_at_1_fpr,tpr_ci_lower,tpr_ci_upper
HTML,Regular,0.8522802734375,0.15191865277975605,0.8130354003906249,0.8904945068359376,50,1.0,1.0,1.0
HTML,Probe-Aware,0.0864528751373291,0.08153385039818362,0.06459863591194154,0.1113302310705185,50,0.2616,0.12,0.47049999999999953
all-caps,Regular,0.9310302734375,0.1502028623352643,0.8850640869140626,0.96762353515625,50,0.9806400000000001,0.94,1.0
all-caps,Probe-Aware,0.31549949645996095,0.18194962162338527,0.2618275736868382,0.36828443256020543,50,0.19408,0.00950000000000003,0.52
biology-focused,Regular,0.942841796875,0.056539123931509824,0.925232666015625,0.95834423828125,50,1.0,1.0,1.0
biology-focused,Probe-Aware,0.0017159581184387207,0.0029713518811176182,0.0010858683586120607,0.002735796272754669,50,0.0,0.0,0.0
chemistry-based,Regular,0.810255126953125,0.1335175666701379,0.7671054992675782,0.8428330078124999,50,0.9798800000000001,0.94,1.0
chemistry-based,Probe-Aware,0.0025002992153167723,0.004128396657121176,0.0014839840531349184,0.00368562513589859,50,0.0,0.0,0.0
comforting,Regular,0.94041015625,0.06170143831082079,0.92245849609375,0.9560869140625,50,1.0,1.0,1.0
comforting,Probe-Aware,0.05155606031417847,0.042432060237304746,0.039822412729263304,0.06325639283657074,50,0.00076,0.0,0.0
confused,Regular,0.85576171875,0.09553751415395825,0.8274445800781249,0.882699462890625,50,0.9001199999999999,0.68,1.0
confused,Probe-Aware,0.04672260284423828,0.03127904051631228,0.03837401103973389,0.055627059936523435,50,0.0,0.0,0.0
finnish,Regular,0.8534765625,0.17839167098244646,0.798185302734375,0.8988341064453125,50,0.7741200000000001,0.52,0.96
finnish,Probe-Aware,0.2097119152545929,0.13902735814458905,0.17153912472724914,0.2502576305568218,50,0.009,0.0,0.08
german,Regular,0.69591064453125,0.20447289413189074,0.6400591430664062,0.7506080322265625,50,0.966,0.9,1.0
german,Probe-Aware,0.08639487385749817,0.07361001589176577,0.06626529812812806,0.10817852309346197,50,0.017400000000000002,0.0,0.08
jokey,Regular,0.7257177734375,0.19270763080228304,0.6721329345703125,0.773402587890625,50,0.90832,0.8,1.0
jokey,Probe-Aware,0.3614584255218506,0.21286408971614587,0.3013529829978943,0.4210204923152923,50,0.58212,0.3,0.96
literature-focused,Regular,0.89005859375,0.16971854444030215,0.838739013671875,0.9342926025390625,50,0.98252,0.94,1.0
literature-focused,Probe-Aware,7.045984268188476e-05,0.00034512636100616215,7.656782865524293e-06,0.00018121758103370665,50,0.0,0.0,0.0
mathematical,Regular,0.47707574486732485,0.28236194292365224,0.4013668960630894,0.554292272567749,50,0.9401600000000001,0.86,1.0
mathematical,Probe-Aware,0.03584128379821777,0.07052050036778738,0.019182405143976212,0.05842577198147774,50,0.67612,0.54,0.8
